analiza_codigo,Nicolas,Guardara codigo como lo pide el enunciado ,# Esta funcion guardará cada archivo ordenado en una lista,# aaj,# Este indice lo creo para distinguir los archivos
generar_archivo,Nicolas,Genera un archivo a traves de un iterable 
grabar_archivo,Nicolas,Graba linea en un archivo pasado por parametro 
guarda_archivo,Alejandro,Lee el archivo auxiliar y vuelve a generar otro  eliminando luego el anterior 
leer_archivos_csv,Alejandro ,leer archivos .csv y devuelve una lista de cada linea del archivo 
leer_linea,Nicolas,lee una linea del archivo y devuelve una lista ,# Esta a diferencia de la otra leer_linea ya corta por espacio con el split()
leer_linea_string,Nicolas,lee una linea de un archivo y devuelve un string 
merge,Alejandro ,Mezcla Archivos CSV's 
ordenamiento_insercion,Nicolas,Algoritmo de ordenamiento por insercion visto en clase 
seccion_comentarios,Nicolas ,Este es el sector que corresponderia al analisis de la linea del archivo que corresponde a comentarios ,# Esto es condición para que cuando encuentre la almohadilla salga del while
separa_comentarios_fuentes,Alejandro,separa de la lista  comentarios-fuente 
tipo_archivos,Alejandro ,valida si el archivo recibido es comentarios o fuente_unico 
unir_linea,Nicolas,Junta las lineas con el metodo join 
validar_linea,Nicolas,Va a validar las lineas del archivo para saber a cual de las dos salidas (comentarios y fuente unico) va a ir,# Aca iran a parar las funciones para fuente codigo,# Y aca las funciones para comentarios,# Quiere decir que arranca con el llamado a una función,# Por enunciado sabemos que aca tendremos el nombre de la funcion,# Y aca tendremos los parametros de la funcion
