agregar_linea_especifica,Nicolas,N/N
buscar_dato,Nicolas,Se le pasa una lista con datos a buscar en la linea del archivo
item_necesario,Nicolas,Esta funcion va a buscar un dato exacto y hara lo que necesites con el. Convertira todo a un nuevo strin y una nueva lista que con el metodo extend se unira a la lista final
listar_archivo,Lucia,convierte al archivo en una lista donde cada elemento es una linea del mismo
ordenamiento_insercion,Nicolas,Algoritmo de ordenamiento por insercion visto en clase
reemplazar_string,Nicolas,Con la funcion replace reemplazaremos los datos del parametro reemplazar con otro parametro reemplazo
reemplazar_toda_la_lista,Nicolas,Reemplaza en una lista todos sus elementos
tipo_archivos,Alejandro,valida si el archivo recibido es comentarios o fuente_unico
unir_linea,Nicolas,Junta las lineas con el metodo join
validar_programa,Alejandro,Preguntaremos si hay alguna ruta en programas.txt
